기간,순위,프로그램,시청률
2010년 1월 1주,5,주말극장(천만번사랑해),24.2
2010년 1월 1주,8,SBS연예대상2부,21.1
2010년 1월 2주,5,주말극장(천만번사랑해),23.4
2010년 1월 3주,7,주말극장(천만번사랑해),21.7
2010년 1월 4주,6,주말극장(천만번사랑해),24.7
2010년 1월 5주,4,주말극장(천만번사랑해),25.9
2010년 1월 5주,10,특별기획(그대웃어요),18.7
2010년 2월 1주,3,주말극장(천만번사랑해),26.8
2010년 2월 1주,10,특별기획(그대웃어요),17.8
2010년 2월 2주,5,주말극장(천만번사랑해),20.8
2010년 2월 2주,7,설날특선대작(국가대표2부),20.6
2010년 2월 3주,3,주말극장(천만번사랑해),27.3
2010년 2월 4주,3,주말극장(천만번사랑해),25.3
2010년 2월 4주,6,연아의트리플러브,22.5
2010년 3월 1주,4,주말극장(천만번사랑해),27.8
2010년 3월 2주,10,주말극장(이웃집웬수),18.2
2010년 3월 3주,8,주말극장(이웃집웬수),19.2
2010년 3월 4주,4,주말극장(이웃집웬수),21.4
2010년 3월 4주,10,순간포착,16.1
2010년 4월 1주,4,주말극장(이웃집웬수),19.7
2010년 4월 1주,6,일일드라마(아내가돌아왔다),16.3
2010년 4월 1주,7,순간포착,16.2
2010년 4월 1주,9,특별기획(인생은아름다워),15.8
2010년 4월 2주,3,주말극장(이웃집웬수),20.4
2010년 4월 2주,8,특별기획(인생은아름다워),17.5
2010년 4월 3주,2,주말극장(이웃집웬수),21.3
2010년 4월 3주,9,특별기획(인생은아름다워),16.9
2010년 4월 3주,10,일일드라마(아내가돌아왔다),15.8
2010년 4월 4주,2,주말극장(이웃집웬수),20.6
2010년 4월 4주,8,특별기획(인생은아름다워),18.4
2010년 5월 1주,5,주말극장(이웃집웬수),20.3
2010년 5월 1주,10,특별기획(인생은아름다워),17.7
2010년 5월 2주,5,주말극장(이웃집웬수),19.1
2010년 5월 2주,9,특별기획(인생은아름다워),16.4
2010년 5월 2주,10,강심장,15.7
2010년 5월 3주,6,주말극장(이웃집웬수),18.9
2010년 5월 3주,7,아침연속극(당돌한여자),17.8
2010년 5월 3주,8,특별기획(인생은아름다워),17.4
2010년 5월 4주,4,주말극장(이웃집웬수),23.7
2010년 5월 4주,8,특별기획(인생은아름다워),18.4
2010년 5월 5주,4,주말극장(이웃집웬수),24.5
2010년 5월 5주,10,특별기획(인생은아름다워),19.7
2010년 6월 1주,5,주말극장(이웃집웬수),21.2
2010년 6월 1주,8,특별기획(인생은아름다워),19.1
2010년 6월 1주,9,아침연속극(당돌한여자),19.0
2010년 6월 2주,1,2010남아공월드컵(32강그리스:한국),45.9
2010년 6월 2주,3,로또복권추첨,27.2
2010년 6월 2주,5,2010남아공월드컵(32강나이지리아:아르헨티나),24.1
2010년 6월 2주,8,아침연속극(당돌한여자),20.7
2010년 6월 2주,10,2010남아공월드컵(32강남아공:멕시코),19.1
2010년 6월 3주,1,2010남아공월드컵(32강아르헨티나:한국),47.8
2010년 6월 3주,4,2010남아공월드컵(32강일본:카메룬),21.1
2010년 6월 3주,5,아침연속극(당돌한여자),20.8
2010년 6월 3주,6,2010남아공월드컵(32강네덜란드:일본),20.7
2010년 6월 3주,8,2010남아공월드컵(32강그리스:나이지리아),18.2
2010년 6월 4주,1,2010남아공월드컵(16강우루과이:한국),44.3
2010년 6월 4주,2,2010남아공월드컵(32강나이지리아:한국),39.5
2010년 6월 4주,5,2010남아공월드컵(32강북한:포르투갈),23.3
2010년 6월 4주,6,아침연속극(당돌한여자),22.0
2010년 7월 1주,3,2010남아공월드컵(8강독일:아르헨티나),26.5
2010년 7월 1주,4,아침연속극(당돌한여자),21.9
2010년 7월 1주,6,2010남아공월드컵(8강네덜란드:브라질),21.0
2010년 7월 1주,8,2010남아공월드컵(16강일본:파라과이),20.3
2010년 7월 1주,9,주말극장(이웃집웬수),19.1
2010년 7월 2주,3,주말극장(이웃집웬수),21.4
2010년 7월 2주,5,아침연속극(당돌한여자),20.1
2010년 7월 2주,10,특별기획(인생은아름다워),18.5
2010년 7월 3주,3,주말극장(이웃집웬수),21.5
2010년 7월 3주,8,아침연속극(당돌한여자),20.1
